City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
204,Prieska,-29.6641,22.7474,80.64,8,0,6.91,clear sky,ZA,2021-12-11 20:24:02
205,Santa Cruz,-17.8,-63.1667,86.05,66,75,13.8,light rain,BO,2021-12-11 20:24:02
206,Oxelosund,58.6706,17.1015,32.52,98,75,3.44,mist,SE,2021-12-11 20:24:03
207,Kalemie,-5.9475,29.1947,73.9,75,100,2.73,overcast clouds,CD,2021-12-11 20:24:03
208,Edson,53.5835,-116.4356,28.54,93,90,5.75,light snow,CA,2021-12-11 20:24:03
209,Yablonovo,50.8523,37.3574,30.06,86,63,10.74,broken clouds,RU,2021-12-11 20:24:03
210,Labuhan,-6.8844,112.2051,78.67,86,100,7.07,overcast clouds,ID,2021-12-11 20:24:04
211,New Norfolk,-42.7826,147.0587,51.71,64,16,1.63,few clouds,AU,2021-12-11 20:24:04
212,Balikpapan,-1.2675,116.8289,76.08,90,100,5.1,overcast clouds,ID,2021-12-11 20:24:04
213,Pevek,69.7008,170.3133,-32.15,100,87,6.51,overcast clouds,RU,2021-12-11 20:24:05
214,Kita,13.0349,-9.4895,80.85,13,99,2.66,overcast clouds,ML,2021-12-11 20:24:05
215,Kimbe,-5.5502,150.1429,76.48,95,98,2.55,light rain,PG,2021-12-11 20:24:05
216,Alofi,-19.0595,-169.9187,82.29,61,75,2.3,light rain,NU,2021-12-11 20:24:06
217,Seydisehir,37.4193,31.8453,43.39,79,100,5.19,overcast clouds,TR,2021-12-11 20:24:06
218,Pochutla,15.7432,-96.4661,89.42,49,25,8.55,scattered clouds,MX,2021-12-11 20:24:06
219,Tabou,4.423,-7.3528,80.56,80,93,9.35,overcast clouds,CI,2021-12-11 20:24:07
220,Sao Caetano De Odivelas,-0.75,-48.02,82.71,72,100,9.82,overcast clouds,BR,2021-12-11 20:25:07
221,Khonsa,27.0167,95.5667,52.0,95,24,3.31,few clouds,IN,2021-12-11 20:25:07
